state	stateno	order	sgenexp	stotrev	stltdebt	pcpinc	totpop	cpi	year	dratelag	dmajdgov	dmajrgov	rmajdgov	rmajrgov	nmajdgov	nmajrgov	othergov	_merge	ideology	religion	adopted	statutry	constnl	indstat	indconst	referend	sigstat	sigconst	sigindst	sigindc	sigref	singlsub	contrest	judicrev	adminrev	legisrev	postrest	init	sigs	south	sigsq	invsigs	cappun	adopt_cp	initideo	sigideo	noinideo	initrel	noinrel	deficit	debt	rpcpinc	drpcpinc	divgov	nbrs_cp1	nbrs_cp3	nbrs_cp2	nbrs_cp4	nbors	nbrs_cp	dur_cp	spline1	spline2	spline3	_t_cp0	_t_cp1	_t_cp2	_t_cp3	_t_cp4	_t_cp5	_t_cp6	_t_cp7	_t_cp8	_t_cp9	_t_cp10	source_count	source_count
"NH"	29	2	311	271.1000061035156	161.1999969482422	4092	0.7820000052452087	2.250999927520752	1973	1.7000000476837158	0	0	0	1	0	0	0	3	-12.800000190734863	3.4000000953674316		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-12.800000190734863	0	3.4000000953674316	0.12829579412937164	0.5183279514312744	14.437447547912598	0.014858094975352287	0	0	0	0	0	0	0	1	-0.8999999761581421	-0.800000011920929	-0.4000000059604645	0	1	0	0	0	0	0	0	0	0	0	1	1
"NH"	29	2	332	322.70001220703125	156.10000610351562	4615	0.8019999861717224	2.0290000438690186	1974	2.0999999046325684	0	0	0	0	0	0	1	3	-12.800000190734863	3.4000000953674316		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	-12.800000190734863	0	3.4000000953674316	0.02801201120018959	0.4701807498931885	14.676857948303223	0.01658259890973568	1	0	0	0	0	0	0	2	-6.199999809265137	-6.400000095367432	-3.200000047683716	0	0	1	0	0	0	0	0	0	0	0	1	3
"NH"	29	2	356	330.3999938964844	185.10000610351562	5143	0.8169999718666077	1.8589999675750732	1975	3.5	0	0	0	0	0	0	1	3	-12.800000190734863	3.4000000953674316		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1		0	0	-12.800000190734863	0	3.4000000953674316	0.07191012799739838	0.5199438333511353	14.985637664794922	0.021038543432950974	1	0	0	0	0	0	0					0	0	0	0	0	0	0	0	0	0	0	1	4
"NH"	29	2	434	368.8999938964844	208.10000610351562	5417	0.8289999961853027	1.7569999694824219	1976	2.9000000953674316	0	0	0	0	0	0	1	3	-12.800000190734863	3.4000000953674316		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1		0	0	-12.800000190734863	0	3.4000000953674316	0.15000002086162567	0.479493111371994	14.917976379394531	-0.0045150755904614925	1	0	0	0	0	0	0					0	0	0	0	0	0	0	0	0	0	0	1	4
"NH"	29	2	488	416.3999938964844	264.3999938964844	5973	0.847000002861023	1.6490000486373901	1977	3.299999952316284	0	0	0	0	0	0	1	3	-12.800000190734863	3.4000000953674316		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1		0	0	-12.800000190734863	0	3.4000000953674316	0.14672131836414337	0.541803240776062	15.4380521774292	0.03486235439777374	1	0	0	0	0	0	0					0	0	0	0	0	0	0	0	0	0	0	1	4
"NH"	29	2	550	461.5	342.20001220703125	6536	0.871999979019165	1.531999945640564	1978	3.200000047683716	0	0	1	0	0	0	0	3	-12.800000190734863	3.4000000953674316		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1		0	0	-12.800000190734863	0	3.4000000953674316	0.16090908646583557	0.6221818327903748	15.694595336914062	0.016617586836218834	1	0	0	0	0	0	0					0	0	0	0	0	0	0	0	0	0	0	1	5
"NH"	29	2	576	550.7999877929688	413.29998779296875	7277	0.8920000195503235	1.3799999952316284	1979	1.399999976158142	0	0	1	0	0	0	0	3	-12.800000190734863	3.4000000953674316		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1		0	0	-12.800000190734863	0	3.4000000953674316	0.04375002160668373	0.7175347208976746	15.740219116210938	0.0029069739393889904	1	0	0	0	0	1	0					0	0	0	0	0	0	0	0	0	0	0	1	5
"NH"	29	2	631	614.0999755859375	737.5	8231	0.9089999794960022	1.215000033378601	1980	2.4000000953674316	0	0	1	0	0	0	0	3	-12.800000190734863	3.4000000953674316		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1		0	0	-12.800000190734863	0	3.4000000953674316	0.026782922446727753	1.168779730796814	15.675024032592773	-0.004141942597925663	1	0	1	0	0	1	1					0	0	0	0	0	0	0	0	0	0	0	1	5
"NH"	29	2	735	672.2000122070312	863.2999877929688	9131	0.9210000038146973	1.0980000495910645	1981	2.5	0	0	1	0	0	0	0	3	-12.800000190734863	3.4000000953674316		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1		0	0	-12.800000190734863	0	3.4000000953674316	0.08544216305017471	1.1745578050613403	15.71448040008545	0.0025171488523483276	1	0	1	0	0	1	1					0	0	0	0	0	0	0	0	0	0	0	1	6
"NH"	29	2	782	710.5999755859375	1003.0999755859375	10051	0.9369999766349792	1.034999966621399	1982	2.9000000953674316	0	0	1	0	0	0	0	3	-12.800000190734863	3.4000000953674316		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1		0	0	-12.800000190734863	0	3.4000000953674316	0.09130437672138214	1.2827365398406982	16.30530548095703	0.03759749233722687	1	0	1	0	0	1	1					0	0	0	0	0	0	0	0	0	0	0	1	4
