stateno	state	year	totpop	rpcpinc	sgenexp	stotrev	stltdebt	dmajdgov	dmajrgov	rmajdgov	rmajrgov	nmajdgov	nmajrgov	othergov	_merge	ideology	religion	adopted	statutry	constnl	indstat	indconst	referend	sigstat	sigconst	sigindst	sigindc	sigref	singlsub	contrest	judicrev	adminrev	legisrev	postrest	fedtribe	nonfedtr	init	sigs	sigsq	invsigs	indgam	adopt_ig	casino	adopt_cg	cardtab	adopt_ct	initideo	noinideo	initrel	noinrel	deficit	debt	drpcpinc	divgov	inittrib	unified	south	lnftribe	initlnft	pl280	calif	dur_ig	spline1	spline2	spline3	_t_ig0	_t_ig1	_t_ig2	_t_ig3	_t_ig4	_t_ig5	_t_ig6	_t_ig7	_t_ig8	_t_ig9	_t_ig10	nbrs_cg1	nbrs_cg3	nbrs_cg2	nbrs_cg4	nbrs_ig1	nbrs_ig3	nbrs_ig2	nbrs_ig4	nbrs_ct1	nbrs_ct3	nbors	nbrs_ct2	nbrs_ct4	nbrs	source_count
21	"MA"	1970						0	1	0	0	0	0	0	2	-0.800000011920929	2.200000047683716	1918	0	0	1	1	1	0	0	3.5	3	0	0	1	0	1	0	0	1	4	1	3.5	12.25	0.5250839591026306	0		0		0	0	-0.800000011920929	0	2.200000047683716	0				1	1	0	0	0.6931471824645996	0.6931471824645996	0	0					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22	"MI"	1970						0	0	0	0	0	0	1	2	-8.800000190734863	6.5	1908	0	1	1	0	1	0	10	8	0	5	0	0	0	0	0	1	12	4	1	10	100	0.931109607219696	0		0		0	0	-8.800000190734863	0	6.5	0				1	12	0	0	2.5649492740631104	2.5649492740631104	0	0					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
23	"MN"	1970						0	0	0	0	0	0	1	2	-12.800000190734863	7		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	3	0	0	0	0	0		0		0	0	0	-12.800000190734863	0	7				1	0	0	0	2.397895336151123	0	1	0					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
24	"MS"	1970						1	0	0	0	0	0	0	2	-25.399999618530273	33	1992	0	0	0	1	0	0	0	0	12	0	0	1	0	1	0	0	1	1	0	0	0	0	0		0		0	0	0	-25.399999618530273	0	33				0	0	1	1	0.6931471824645996	0	0	0					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
25	"MO"	1970						1	0	0	0	0	0	0	2	-15.5	21	1908	1	1	0	0	1	5	8	0	0	5	1	1	1	0	0	0	1	1	1	5	25	0.6822617650032043	0		0		0	0	-15.5	0	21	0				0	1	1	0	0.6931471824645996	0.6931471824645996	0	0					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
26	"MT"	1970						0	0	0	0	1	0	0	2	-11.100000381469727	8.5	1904	1	1	0	0	1	5	10	0	0	5	1	1	1	1	0	0	7	2	1	5	25	0.6822617650032043	0		0		0	0	-11.100000381469727	0	8.5	0				1	7	0	0	2.079441547393799	2.079441547393799	0	0					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
27	"NE"	1970						0	0	0	0	0	0	1	2	-18.700000762939453	11.300000190734863	1912	1	1	0	0	1	7	10	0	0	5	1	1	1	1	0	0	4	0	1	7	49	0.8232006430625916	0		0		0	0	-18.700000762939453	0	11.300000190734863	0				1	4	0	0	1.6094379425048828	1.6094379425048828	1	0					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28	"NV"	1970						0	0	0	0	1	0	0	2	-0.20000000298023224		1905	0	1	1	0	1	0	10	10	0	10	0	1	0	0	0	1	21	1	1	10	100	0.931109607219696	0		1		0	0	-0.20000000298023224	0						1	21	0	0	3.0910425186157227	3.0910425186157227	0	0					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
29	"NH"	1970						0	0	0	1	0	0	0	2	-12.800000190734863	3.4000000953674316		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0		0		0	0	0	-12.800000190734863	0	3.4000000953674316				0	0	1	0	0	0	0	0					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
30	"NJ"	1970						0	0	0	1	0	0	0	2	-3.4000000953674316	2.0999999046325684		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0		0		0	0	0	-3.4000000953674316	0	2.0999999046325684				0	0	1	0	0	0	0	0					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
31	"NM"	1970						1	0	0	0	0	0	0	2	-16	16.5	1911	0	0	0	0	1	0	0	0	0	10	0	0	0	0	0	0	21	2	0	0	0	0	0		0		0	0	0	-16	0	16.5				0	0	1	0	3.0910425186157227	0	0	0					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
32	"NY"	1970						0	0	0	1	0	0	0	2	-3.0999999046325684	2		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0		0		0	0	0	-3.0999999046325684	0	2				0	0	1	0	2.3025851249694824	0	0	0					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
33	"NC"	1970						1	0	0	0	0	0	0	2	-20.700000762939453	28.600000381469727		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	13	0	0	0	0	0		0		0	0	0	-20.700000762939453	0	28.600000381469727				0	0	1	1	0.6931471824645996	0	0	0					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
34	"ND"	1970						0	0	1	0	0	0	0	2	-26.600000381469727	7.900000095367432	1914	1	1	0	0	1	2	4	0	0	2	0	0	0	0	0	1	5	1	1	2	4	0.32151272892951965	0		0		0	0	-26.600000381469727	0	7.900000095367432	0				1	5	0	0	1.7917594909667969	1.7917594909667969	0	0					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
35	"OH"	1970						0	0	1	0	0	0	0	2	-10.100000381469727	6.800000190734863	1912	0	1	1	0	1	0	10	6	0	6	1	1	0	0	0	0	0	4	1	10	100	0.931109607219696	0		0		0	0	-10.100000381469727	0	6.800000190734863	0				1	0	0	0	0	0	0	0					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
36	"OK"	1970						1	0	0	0	0	0	0	2	-27.299999237060547	33.099998474121094	1907	1	1	0	0	1	8	15	0	0	5	1	0	0	0	0	0	33	2	1	8	64	0.8700616359710693	0		0		0	0	-27.299999237060547	0	33.099998474121094	0				0	33	1	0	3.526360511779785	3.526360511779785	0	0					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
37	"OR"	1970						0	0	0	0	0	1	0	2	-7.900000095367432	10.5	1902	1	1	0	0	1	6	8	0	0	4	1	0	0	1	0	0	11	5	1	6	36	0.7615941762924194	0		0		0	0	-7.900000095367432	0	10.5	0				1	11	0	0	2.4849066734313965	2.4849066734313965	1	0					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
38	"PA"	1970						1	0	0	0	0	0	0	2	-10.600000381469727	2.5		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0		0	0	0	-10.600000381469727	0	2.5				0	0	1	0	0	0	0	0					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
39	"RI"	1970						1	0	0	0	0	0	0	2	-2.0999999046325684	3.5		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0		0		0	0	0	-2.0999999046325684	0	3.5				0	0	1	0	0.6931471824645996	0	0	0					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
40	"SC"	1970						1	0	0	0	0	0	0	2	-21.399999618530273	32.099998474121094		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0		0		0	0	0	-21.399999618530273	0	32.099998474121094				0	0	1	1	1.0986123085021973	0	0	0					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
41	"SD"	1970						0	0	1	0	0	0	0	2	-24.100000381469727	9.199999809265137	1898	1	1	0	0	1	5	10	0	0	5	0	0	0	0	0	0	6	0	1	5	25	0.6822617650032043	0		0		0	0	-24.100000381469727	0	9.199999809265137	0				1	6	0	0	1.945910096168518	1.945910096168518	0	0					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
42	"TN"	1970						0	1	0	0	0	0	0	2	-16.600000381469727	31.899999618530273		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0		0		0	0	0	-16.600000381469727	0	31.899999618530273				1	0	0	1	0	0	0	0					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
43	"TX"	1970						1	0	0	0	0	0	0	2	-23.200000762939453	24.399999618530273		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0		0		0	0	0	-23.200000762939453	0	24.399999618530273				0	0	1	1	1.3862943649291992	0	0	0					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
44	"UT"	1970						0	0	0	0	1	0	0	2	-28	76.30000305175781	1900	1	0	1	0	1	10	0	10	0	10	0	0	1	0	0	0	3	3	1	10	100	0.931109607219696	0		0		0	0	-28	0	76.30000305175781	0				1	3	0	0	1.3862943649291992	1.3862943649291992	0	0					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
45	"VT"	1970						0	0	0	1	0	0	0	2	-11.399999618530273	3.4000000953674316		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0		0		0	0	0	-11.399999618530273	0	3.4000000953674316				0	0	1	0	0	0	0	0					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
46	"VA"	1970						0	1	0	0	0	0	0	2	-17.899999618530273	17.799999237060547		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0		0		0	0	0	-17.899999618530273	0	17.799999237060547				1	0	0	1	0	0	0	0					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
47	"WA"	1970						0	0	0	0	0	1	0	2	-5.900000095367432	6.699999809265137	1912	1	0	1	0	1	8	0	8	0	4	1	0	0	1	0	1	29	9	1	8	64	0.8700616359710693	0		0		0	0	-5.900000095367432	0	6.699999809265137	0				1	29	0	0	3.4011974334716797	3.4011974334716797	0	0					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
48	"WV"	1970						0	1	0	0	0	0	0	2	-9.199999809265137	15.5		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0		0	0	0	-9.199999809265137	0	15.5				1	0	0	0	0	0	0	0					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
49	"WI"	1970						0	0	0	0	1	0	0	2	-10.5	7.400000095367432		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	1	0	0	0	0	0		0		0	0	0	-10.5	0	7.400000095367432				1	0	0	0	2.397895336151123	0	1	0					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
