st	year	percentsmokers	tobaccolobby	healthorgslobby	production	govideolbrfh	yadatecensus	restcensus	wp_publiccensus	govbuildings	restaurants	outofpackage	neigovbuildings	neirestaurant	neioutofpackage	dvgovbuild	dvrest	dvoutpack	toblobbyratio	healthlobbyratio	ugovdem	ugovrep	psphealth	proddum	synar1	yacens_healthorgslobby	gbcens_healthorgslobby	restcens_healthorgslobby	rslsal	rslsalgbl	rslsalrestl	rslsalyal	profess	professgbl	professrl	professyal	policynum	pooleddv	poolednei	pooledcensus	pooledlocalrslsal	pooledlocalhealth	styr	pooledlocalprof	synar1ya	state
24	1975	24.8	0	0	0	16.4	0.0	0.0	0.0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.015686275	0.07058824	1.0	0.0	0.016069625	0.0	0.0	0.0	0.0	0.0	25.9281	0.0	0.0	0.0	0.185	0.0	0.0	0.0	1	0.0	0.0	0.0	0.0	0.0	241975.0	0.0	0.0	"MS"
25	1975	25.7	0	2	0.006129	36.77	0.0	0.0	0.0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.006422925	0.0993083	0.0	0.0	0.01789244	1.0	0.0	0.0	0.0	0.0	26.8884	0.0	0.0	0.0	0.266	0.0	0.0	0.0	1	0.0	0.0	0.0	0.0	0.0	251975.0	0.0	0.0	"MO"
26	1975	28.9	0	1	0	81.88	0.0	0.0	0.0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.012135922	0.053398058	1.0	0.0	0.020728683	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.114	0.0	0.0	0.0	1	0.0	0.0	0.0	0.0	0.0	261975.0	0.0	0.0	"MT"
27	1975	24.5	0	0	0	34.5	0.0	0.0	0.0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.015957447	0.10372341			0.021957753	0.0	0.0	0.0	0.0	0.0	15.3648	0.0	0.0	0.0	0.216	0.0	0.0	0.0	1	0.0	0.0	0.0	0.0	0.0	271975.0	0.0	0.0	"NE"
28	1975	30.6	0	1	0	44.75	0.0	0.0	0.0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.011764706	0.05210084	1.0	0.0	0.025696855	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13	0.0	0.0	0.0	1	0.0	0.0	0.0	0.0	0.0	281975.0	0.0	0.0	"NV"
29	1975	27.2	0	1	0	19.56	0.0	0.0	0.0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.021052632	0.1	0.0	0.0	0.022833157	0.0	0.0	0.0	0.0	0.0	0.3201	0.0	0.0	0.0	0.062	0.0	0.0	0.0	1	0.0	0.0	0.0	0.0	0.0	291975.0	0.0	0.0	"NH"
30	1975	22.5	0	0	0	87.38	0.0	0.0	0.0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.022222223	0.24444444	1.0	0.0	0.0163014	0.0	0.0	0.0	0.0	0.0	32.01	0.0	0.0	0.0	0.175	0.0	0.0	0.0	1	0.0	0.0	0.0	0.0	0.0	301975.0	0.0	0.0	"NJ"
31	1975	26.7	0	1	0	31.75	0.0	0.0	0.0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0027347312	0.029170465	1.0	0.0	0.01884137	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.092	0.0	0.0	0.0	1	0.0	0.0	0.0	0.0	0.0	311975.0	0.0	0.0	"NM"
32	1975	32.0	2	2	0	75.3	0.020382162	0.0	0.020382162	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.004854369	0.040453073	0.0	0.0	0.023062311	0.0	0.0	0.040764324	0.040764324	0.0	75.2235	1.5332177	0.0	1.5332177	0.407	0.00829554	0.0	0.00829554	1	0.0	0.0	0.020382162	1.5332177	0.040764324	321975.0	0.00829554	0.0	"NY"
33	1975	29.2	2	1	0.956995	20.84	0.0	0.0	0.0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.025390625	0.08984375	0.0	0.0	0.01999735	1.0	0.0	0.0	0.0	0.0	15.3648	0.0	0.0	0.0	0.19	0.0	0.0	0.0	1	0.0	0.0	0.0	0.0	0.0	331975.0	0.0	0.0	"NC"
34	1975	25.5	0	0	0	45.63	0.0	0.0	0.0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.024390243	0.05986696	0.0	0.0	0.01111528	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.077	0.0	0.0	0.0	1	0.0	0.0	0.0	0.0	0.0	341975.0	0.0	0.0	"ND"
35	1975	29.9	0	2	0.024112	52.62	0.0	0.05314151	0.05314151	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.008994277	0.08830744	0.0	0.0	0.013058465	1.0	0.0	0.0	0.10628302	0.10628302	56.017498	2.9768543	2.9768543	0.0	0.355	0.018865235	0.018865235	0.0	1	0.0	0.0	0.05314151	2.9768543	0.10628302	351975.0	0.018865235	0.0	"OH"
36	1975	25.2	0	2	0	28.8	0.0	0.0	0.0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.010224949	0.073619634	1.0	0.0	0.009035553	0.0	0.0	0.0	0.0	0.0	31.88196	0.0	0.0	0.0	0.249	0.0	0.0	0.0	1	0.0	0.0	0.0	0.0	0.0	361975.0	0.0	0.0	"OK"
37	1975	23.6	0	2	0	78.25	0.0	0.0	0.0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.012	0.048	1.0	0.0	0.021398516	0.0	0.0	0.0	0.0	0.0	16.9653	0.0	0.0	0.0	0.233	0.0	0.0	0.0	1	0.0	0.0	0.0	0.0	0.0	371975.0	0.0	0.0	"OR"
38	1975	27.5	0	2	0.0198	77.14	0.0	0.0	0.0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.023809524	0.2767857	1.0	0.0	0.02038511	1.0	0.0	0.0	0.0	0.0	49.9356	0.0	0.0	0.0	0.345	0.0	0.0	0.0	1	0.0	0.0	0.0	0.0	0.0	381975.0	0.0	0.0	"PA"
39	1975	31.7	0	1	0	90.38	0.0	0.0	0.0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.024390243	0.039634146	1.0	0.0	0.028485125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.142	0.0	0.0	0.0	1	0.0	0.0	0.0	0.0	0.0	391975.0	0.0	0.0	"RI"
