state	statenum	year	adopt	elect1	elect2	income1	fiscal	party	religion	neighbor	nbrpercn
"NY"	32	66	0	1	0	91.94	-0.352	0.0	1.4	0	0.0
"OH"	35	66	0	1	0	79.25	-0.235	0.0	5.7	0	0.0
"OK"	36	66	0	1	0	63.99	-0.2	0.0	33.2	0	0.0
"OR"	37	66	0	1	0	77.48	-0.194	0.0	10.0	0	0.0
"PA"	38	66	0	1	0	77.02	-0.198	0.0	2.0	0	0.0
"RI"	39	66	0	1	0	79.18	-0.197	0.0	0.7	0	0.0
"SC"	40	66	0	1	0	51.69	-0.199	1.0	32.2	0	0.0
"SD"	41	66	0	1	0	61.89	-0.109	1.0	9.9	0	0.0
"TN"	42	66	0	1	0	73.61	-0.215	1.0	31.9	0	0.0
"TX"	43	66	0	1	0	85.61	-0.103	1.0	24.4	0	0.0
"UT"	44	66	0	0	1	66.33	-0.285	1.0	75.9	0	0.0
"VA"	46	66	0	0	0	67.73	-0.199	1.0	16.8	0	0.0
"VT"	45	66	0	1	0	65.01	-0.098	0.0	1.0	1	0.3333
"WA"	47	66	0	0	1	81.45	-0.259	0.0	7.0	0	0.0
"WI"	49	66	0	1	0	76.31	-0.338	0.0	11.8	0	0.0
"WV"	48	66	0	0	1	56.8	-0.169	1.0	6.8	0	0.0
"WY"	50	66	0	1	0	71.52	-0.155	0.0	15.3	0	0.0
"AL"	1	67	0	0	0	56.22	-0.092	1.0	34.0	0	0.0
"AR"	4	67	0	0	0	54.69	0.004	0.0	29.6	0	0.0
"AZ"	3	67	0	0	0	69.22	-0.072	1.0	14.5	0	0.0
"CA"	5	67	0	0	0	94.07	-0.176	0.0	6.2	0	0.0
"CO"	6	67	0	0	0	79.34	-0.012	1.0	8.9	0	0.0
"CT"	7	67	0	0	0	100.4	-0.081	1.0	1.3	0	0.0
"DE"	8	67	0	0	1	96.06	-0.033	0.0	2.9	0	0.0
"FL"	9	67	0	0	0	71.16	0.002	0.0	15.3	0	0.0
"GA"	10	67	0	0	0	64.76	0.012	1.0	31.1	0	0.0
"IA"	15	67	0	0	0	81.42	-0.028	0.0	7.8	0	0.0
"ID"	12	67	0	0	0	66.52	-0.057	1.0	33.6	0	0.0
"IL"	13	67	0	0	1	96.09	-0.003	0.0	8.1	0	0.0
"IN"	14	67	0	0	1	83.7	0.017	0.0	10.3	0	0.0
"KS"	16	67	0	0	0	77.88	0.026	0.0	10.5	0	0.0
"KY"	17	67	0	1	0	61.1	-0.068	1.0	31.4	0	0.0
"LA"	18	67	0	0	1	61.95	0.02	1.0	18.4	0	0.0
"MA"	21	67	0	0	0	89.02	-0.083	0.0	0.8	1	0.1667
"MD"	20	67	0	0	0	87.21	-0.06	0.0	4.9	0	0.0
"ME"	19	67	0	0	0	67.39	-0.11	0.0	2.3	1	0.5
"MI"	22	67	0	0	0	88.96	-0.097	0.0	7.5	0	0.0
"MN"	23	67	0	0	0	79.02	0.05		9.3	0	0.0
"MO"	25	67	0	0	1	76.65	0.047	1.0	20.4	0	0.0
"MS"	24	67	0	1	0	48.36	-0.017	1.0	34.4	0	0.0
"MT"	26	67	0	0	1	71.4	-0.132	0.0	7.9	0	0.0
"NC"	33	67	0	0	1	61.93	0.018	1.0	28.5	0	0.0
"ND"	34	67	0	0	1	64.87	-0.01	0.0	6.9	0	0.0
"NE"	27	67	0	0	0	99.62	-0.037		10.9	0	0.0
"NJ"	30	67	0	0	1	93.74	-0.121	1.0	1.1	0	0.0
"NM"	31	67	0	0	0	64.9	0.022	0.0	16.4	0	0.0
"NV"	28	67	0	0	0	119.9	-0.164	0.0	13.4	0	0.0
"NY"	32	67	1	0	0	95.17	-0.156	0.0	1.4	0	0.0
"OH"	35	67	0	0	0	83.15	-0.205	1.0	5.7	0	0.0
"OK"	36	67	0	0	0	67.0	-0.028	0.0	33.2	0	0.0
"OR"	37	67	0	0	0	79.14	-0.145	0.0	10.0	0	0.0
"PA"	38	67	0	0	0	80.77	-0.146	1.0	2.0	0	0.0
"RI"	39	67	0	0	0	82.72	-0.185	0.0	0.7	0	0.0
"SC"	40	67	0	0	0	55.81	0.038	1.0	32.2	0	0.0
"SD"	41	67	0	0	0	65.84	-0.05	1.0	9.9	0	0.0
"TN"	42	67	0	0	0	76.37	-0.059	1.0	31.9	0	0.0
"TX"	43	67	0	0	0	87.15	0.048	1.0	24.4	0	0.0
"UT"	44	67	0	0	1	67.61	-0.15	0.0	75.9	0	0.0
"VA"	46	67	0	0	1	70.94	-0.126	1.0	16.8	0	0.0
"VT"	45	67	0	0	0	70.58	-0.115	0.0	1.0	1	0.3333
"WA"	47	67	0	0	1	87.69	-0.047	0.0	7.0	0	0.0
"WI"	49	67	0	0	0	80.91	-0.047	1.0	11.8	0	0.0
"WV"	48	67	0	0	1	59.22	-0.156	1.0	6.8	0	0.0
"WY"	50	67	0	0	0	74.55	-0.135	1.0	15.3	0	0.0
"AL"	1	68	0	0	1	57.59	-0.15	1.0	34.0	0	0.0
"AR"	4	68	0	1	0	55.66	-0.018	0.0	29.6	0	0.0
"AZ"	3	68	0	1	0	72.15	-0.095	1.0	14.5	0	0.0
"CA"	5	68	0	0	1	98.26	-0.207	0.0	6.2	0	0.0
"CO"	6	68	0	0	1	81.78	-0.048	1.0	8.9	0	0.0
"CT"	7	68	0	0	1	105.7	-0.061	1.0	1.3	1	0.3333
"DE"	8	68	0	1	0	96.62	-0.138	0.0	2.9	0	0.0
"FL"	9	68	0	0	1	75.31	-0.028	0.0	15.3	0	0.0
"GA"	10	68	0	0	1	67.82	-0.042	1.0	31.1	0	0.0
"IA"	15	68	0	1	0	82.05	-0.053	0.0	7.8	0	0.0
"ID"	12	68	0	0	1	68.25	-0.062	1.0	33.6	0	0.0
"IL"	13	68	0	1	0	99.73	-0.114	0.0	8.1	0	0.0
"IN"	14	68	0	1	0	84.74	-0.014	0.0	10.3	0	0.0
"KS"	16	68	0	1	0	81.11	0.025	0.0	10.5	0	0.0
"KY"	17	68	0	0	0	64.24	-0.093	0.0	31.4	0	0.0
"LA"	18	68	0	1	0	65.27	-0.091	1.0	18.4	0	0.0
"MA"	21	68	0	0	1	93.89	-0.059	0.0	0.8	2	0.3333
"MD"	20	68	0	0	1	90.96	-0.053	0.0	4.9	0	0.0
"ME"	19	68	0	0	1	69.96	-0.181	0.0	2.3	1	0.5
"MI"	22	68	0	0	1	90.01	-0.169	0.0	7.5	0	0.0
"MN"	23	68	0	0	1	81.84	0.035		9.3	0	0.0
"MO"	25	68	0	1	0	79.94	0.0	1.0	20.4	0	0.0
"MS"	24	68	0	0	0	50.49	-0.04	1.0	34.4	0	0.0
"MT"	26	68	0	1	0	73.73	-0.153	0.0	7.9	0	0.0
"NC"	33	68	0	1	0	64.45	-0.027	1.0	28.5	0	0.0
"ND"	34	68	0	1	0	66.82	-0.066	0.0	6.9	0	0.0
"NE"	27	68	0	0	1	102.6	-0.05		10.9	0	0.0
"NJ"	30	68	0	0	1	97.79	-0.047	0.0	1.1	1	0.3333
"NM"	31	68	0	1	0	65.89	0.0	0.0	16.4	0	0.0
"NV"	28	68	0	0	1	121.7	-0.139	0.0	13.4	0	0.0
"OH"	35	68	0	0	1	85.16	-0.235	1.0	5.7	0	0.0
"OK"	36	68	0	0	1	69.66	-0.051	0.0	33.2	0	0.0
"OR"	37	68	0	0	1	82.14	-0.218	0.0	10.0	0	0.0
"PA"	38	68	0	0	1	84.4	-0.187	1.0	2.0	1	0.1667
"RI"	39	68	0	1	0	88.35	-0.269	0.0	0.7	0	0.0
"SC"	40	68	0	0	1	57.95	-0.01	1.0	32.2	0	0.0
"SD"	41	68	0	1	0	69.43	-0.01	1.0	9.9	0	0.0
"TN"	42	68	0	0	1	79.26	-0.071	1.0	31.9	0	0.0
"TX"	43	68	0	1	0	91.99	-0.012	1.0	24.4	0	0.0
"UT"	44	68	0	1	0	69.36	-0.128	0.0	75.9	0	0.0
"VA"	46	68	0	0	1	74.44	-0.141	1.0	16.8	0	0.0
"VT"	45	68	0	1	0	74.55	-0.221	0.0	1.0	2	0.6667
"WA"	47	68	0	1	0	90.07	-0.142	0.0	7.0	0	0.0
"WI"	49	68	0	1	0	83.78	-0.059	1.0	11.8	0	0.0
"WV"	48	68	0	1	0	61.73	-0.178	1.0	6.8	0	0.0
"WY"	50	68	0	0	1	78.82	-0.117	1.0	15.3	0	0.0
"AL"	1	69	0	0	1	61.44	-0.145	1.0	34.0	0	0.0
"AR"	4	69	0	0	0	61.73	-0.067	0.0	29.6	0	0.0
"AZ"	3	69	0	0	0	76.2	0.011	1.0	14.5	0	0.0
"CA"	5	69	0	0	1	100.5	-0.106	0.0	6.2	0	0.0
"CO"	6	69	0	0	1	81.96	-0.057	1.0	8.9	0	0.0
"CT"	7	69	0	0	1	108.3	-0.136	1.0	1.3	1	0.3333
"DE"	8	69	0	0	0	96.6	-0.09	1.0	2.9	0	0.0
"FL"	9	69	0	0	1	77.68	-0.037	0.0	15.3	0	0.0
"GA"	10	69	0	0	1	72.17	-0.063	1.0	31.1	0	0.0
"IA"	15	69	0	0	0	82.27	-0.133	1.0	7.8	0	0.0
"ID"	12	69	0	0	1	68.73	-0.025	1.0	33.6	0	0.0
"IL"	13	69	0	0	0	101.3	-0.038	1.0	8.1	0	0.0
"IN"	14	69	0	0	0	86.34	-0.083	1.0	10.3	0	0.0
"KS"	16	69	0	0	0	86.99	-0.002	0.0	10.5	0	0.0
"KY"	17	69	0	0	1	67.87	-0.146	0.0	31.4	0	0.0
"LA"	18	69	0	0	0	69.35	-0.07	1.0	18.4	0	0.0
"MA"	21	69	0	0	1	95.06	-0.094	0.0	0.8	2	0.3333
"MD"	20	69	0	0	1	93.76	-0.072	1.0	4.9	0	0.0
"ME"	19	69	0	0	1	70.62	-0.196	0.0	2.3	1	0.5
"MI"	22	69	0	0	1	94.04	-0.097	0.0	7.5	0	0.0
"MN"	23	69	0	0	1	83.78	0.0		9.3	0	0.0
"MO"	25	69	0	0	0	83.97	-0.031	1.0	20.4	0	0.0
"MS"	24	69	0	0	1	55.97	-0.122	1.0	34.4	0	0.0
"MT"	26	69	0	0	0	74.17	-0.149	0.0	7.9	0	0.0
"NC"	33	69	0	0	0	69.41	-0.057	1.0	28.5	0	0.0
"ND"	34	69	0	0	0	70.19	-0.057	0.0	6.9	0	0.0
"NE"	27	69	0	0	1	95.46	0.061		10.9	0	0.0
"NJ"	30	69	0	1	0	101.9	-0.061	0.0	1.1	1	0.3333
"NM"	31	69	0	0	0	68.32	0.009	0.0	16.4	0	0.0
"NV"	28	69	0	0	1	115.1	-0.171	0.0	13.4	0	0.0
"OH"	35	69	0	0	1	89.95	-0.226	1.0	5.7	0	0.0
"OK"	36	69	0	0	1	73.84	-0.055	0.0	33.2	0	0.0
"OR"	37	69	0	0	1	84.62	-0.222	0.0	10.0	0	0.0
"PA"	38	69	0	0	1	86.97	-0.209	0.0	2.0	1	0.1667
"RI"	39	69	0	0	0	89.58	-0.241	1.0	0.7	0	0.0
"SC"	40	69	0	0	1	63.09	-0.067	1.0	32.2	0	0.0
"SD"	41	69	0	0	0	71.82	-0.042	1.0	9.9	0	0.0
"TN"	42	69	0	0	1	79.42	-0.034	0.0	31.9	0	0.0
"TX"	43	69	0	0	0	92.35	-0.012	1.0	24.4	0	0.0
"UT"	44	69	0	0	0	71.39	-0.106	0.0	75.9	0	0.0
"VA"	46	69	0	1	0	78.76	-0.126	1.0	16.8	0	0.0
"VT"	45	69	0	0	0	77.33	-0.246	1.0	1.0	2	0.6667
"WA"	47	69	0	0	0	94.07	-0.106	0.0	7.0	0	0.0
"WI"	49	69	0	0	0	83.19	-0.098	1.0	11.8	0	0.0
"WV"	48	69	0	0	0	64.28	-0.154	0.0	6.8	0	0.0
"WY"	50	69	0	0	1	78.98	-0.061	1.0	15.3	0	0.0
"AL"	1	70	0	1	0	64.59	-0.118	1.0	34.0	0	0.0
"AR"	4	70	0	1	0	63.24	-0.023	0.0	29.6	0	0.0
"AZ"	3	70	0	1	0	80.11	-0.053	1.0	14.5	0	0.0
"CA"	5	70	0	1	0	103.1	-0.117	0.0	6.2	0	0.0
"CO"	6	70	0	1	0	85.18	-0.009	1.0	8.9	0	0.0
"CT"	7	70	0	1	0	112.0	-0.205	1.0	1.3	1	0.3333
"DE"	8	70	0	0	1	100.1	-0.145	1.0	2.9	0	0.0
"FL"	9	70	0	1	0	82.2	-0.034	0.0	15.3	0	0.0
"GA"	10	70	0	1	0	76.34	-0.044	1.0	31.1	0	0.0
"IA"	15	70	0	1	0	85.77	-0.141	1.0	7.8	0	0.0
"ID"	12	70	0	1	0	73.09	-0.035	1.0	33.6	0	0.0
"IL"	13	70	0	0	1	104.5	-0.063	1.0	8.1	0	0.0
"IN"	14	70	0	0	1	89.43	-0.045	1.0	10.3	0	0.0
"KS"	16	70	0	1	0	88.26	-0.01	0.0	10.5	0	0.0
"KY"	17	70	0	0	1	70.14	-0.047	0.0	31.4	0	0.0
"LA"	18	70	0	0	1	70.14	-0.023	1.0	18.4	0	0.0
"MA"	21	70	0	1	0	98.03	-0.066	0.0	0.8	2	0.3333
"MD"	20	70	0	1	0	96.64	-0.032	1.0	4.9	0	0.0
"ME"	19	70	0	1	0	73.4	-0.197	0.0	2.3	1	0.5
"MI"	22	70	0	1	0	97.19	-0.065	0.0	7.5	0	0.0
"MN"	23	70	0	1	0	87.23	0.009		9.3	0	0.0
"MO"	25	70	0	0	1	84.5	-0.095	1.0	20.4	0	0.0
"MS"	24	70	0	0	1	57.47	-0.105	1.0	34.4	0	0.0
"MT"	26	70	0	0	1	76.29	-0.167	0.0	7.9	0	0.0
"NC"	33	70	0	0	1	72.82	-0.023	1.0	28.5	0	0.0
"ND"	34	70	0	0	1	72.69	-0.019	0.0	6.9	0	0.0
"NE"	27	70	0	1	0	97.73	0.033		10.9	0	0.0
"NJ"	30	70	0	0	0	104.1	-0.08	1.0	1.1	1	0.3333
"NM"	31	70	0	1	0	69.41	0.059	0.0	16.4	0	0.0
"NV"	28	70	0	1	0	116.9	-0.071	0.0	13.4	0	0.0
"OH"	35	70	0	1	0	92.64	-0.192	1.0	5.7	0	0.0
"OK"	36	70	0	1	0	75.24	-0.017	0.0	33.2	0	0.0
"OR"	37	70	0	1	0	85.83	-0.113	0.0	10.0	0	0.0
"PA"	38	70	0	1	0	89.65	-0.223	0.0	2.0	1	0.1667
"RI"	39	70	0	1	0	91.93	-0.214	1.0	0.7	0	0.0
"SC"	40	70	0	1	0	66.56	-0.069	1.0	32.2	0	0.0
"SD"	41	70	0	1	0	72.8	-0.031	1.0	9.9	0	0.0
"TN"	42	70	0	1	0	79.09	-0.062	0.0	31.9	0	0.0
"TX"	43	70	0	1	0	90.92	0.024	1.0	24.4	0	0.0
"UT"	44	70	0	0	1	72.92	-0.119	0.0	75.9	0	0.0
"VA"	46	70	0	0	0	81.57	-0.043	0.0	16.8	0	0.0
"VT"	45	70	0	1	0	79.54	-0.197	1.0	1.0	2	0.6667
